,"aluminium, primary, ingot","aluminium, primary, liquid","aluminium alloy, AlMg3","aluminium removed by milling, dressing","electricity, medium voltage, aluminium industry",hydraulic fracturing fluid,lubricating oil,"natural gas, low pressure",tap water,scrap aluminium,"aluminium oxide, metallurgical","nitrogen, liquid","sodium chloride, powder","wastewater, average","aluminium removed by drilling, conventional","aluminium removed by milling, dressing.1","aluminium removed by turning, average, conventional","aluminium removed by turning, primarily roughing, conventional","steel, chromium steel 18/8, hot rolled",waste aluminium,"aluminium removed by drilling, computer numerical controlled","aluminium removed by milling, large parts","aluminium removed by milling, small parts","aluminium removed by turning, primarily roughing, computer numerical controlled","electricity, high voltage, aluminium industry","electricity, high voltage, for internal use in coal mining","electricity, low voltage","electricity, medium voltage","electricity, medium voltage, label-certified","natural gas, high pressure","natural gas, medium pressure, vehicle grade","natural gas, liquefied","wire drawing, steel",nylon 6-6,glass fibre,"wire drawing, steel.1","impact extrusion of steel, cold, 3 strokes","impact extrusion of aluminium, 3 strokes",injection moulding,"steel, unalloyed",chromium steel pipe,scrap steel,"steel, low-alloyed, hot rolled","steel, low-alloyed","steel, chromium steel 18/8","chromium steel removed by drilling, conventional","steel removed by turning, primarily dressing, computer numerical controlled","chromium steel removed by milling, average"
390,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_KH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_SG",,,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_EG","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_HT",,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-NX","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-ON",,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HA","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_PY",,,,,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, mini-plant 2KW electrical | electricity, low voltage | Cutoff, S_Europe without Switzerland","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_AO",,,,,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, laminated, integrated | electricity, low voltage | Cutoff, S_RoW","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_HK",,,,,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_HK","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_GI",,,,,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_PK","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_EG",,,,,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CO","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_DE","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_CA-BC",,,,,,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-QH","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_PL",,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_PT","electricity, from municipal waste incineration to generic market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_ID",,,,,,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SV",,,,,,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CY","electricity production, medium voltage, petroleum refinery operation | electricity, medium voltage | Cutoff, S_Europe without Switzerland",,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CN-CSG","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_PL",,,,,,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SG","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_KZ",,,,,,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_DE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_CZ",,,,,,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_DO","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_SS",,,,,,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, mini-plant 2KW electrical | electricity, low voltage | Cutoff, S_RoW","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_IQ",,,,,,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-PE","market for electricity, medium voltage | electricity, medium voltage | Cutoff, S_MY",,,,,,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_AT","electricity voltage transformation from high to medium voltage | electricity, medium voltage | Cutoff, S_IN-Eastern grid",,,,,,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SN",,,,,,,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_NL",,,,,,,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_HK",,,,,,,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_PA",,,,,,,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, laminated, integrated | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-JL",,,,,,,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_US-HICC",,,,,,,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-SC",,,,,,,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_SD",,,,,,,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_GB",,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_ZA",,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_NL",,,,,,,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-MB",,,,,,,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_SI",,,,,,,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_GT",,,,,,,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BN",,,,,,,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_OM",,,,,,,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IQ",,,,,,,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_NI",,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_PL",,,,,,,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_PT",,,,,,,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_MM",,,,,,,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_US-SERC",,,,,,,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_SA",,,,,,,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_IS",,,,,,,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_RS",,,,,,,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_LB",,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, CIS, panel, mounted | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_KR",,,,,,,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BE",,,,,,,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_JP",,,,,,,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-PE",,,,,,,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_MA",,,,,,,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-BJ",,,,,,,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,,,,,,,,,,,,,"heat and power co-generation, natural gas, 50kW electrical, lean burn | electricity, low voltage | Cutoff, S_Europe without Switzerland",,,,,,,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_GR",,,,,,,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HU",,,,,,,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_LV",,,,,,,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,,,,,,,,,,,,,"market group for electricity, low voltage | electricity, low voltage | Cutoff, S_RME",,,,,,,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-NT",,,,,,,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-YK",,,,,,,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_PT",,,,,,,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp facade installation, single-Si, laminated, integrated | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,,,,,,,,,,,,,"natural gas, burned in solid oxide fuel cell, with micro gas turbine, 180kWe, future | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_AT",,,,,,,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-XZ",,,,,,,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp facade installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_SA",,,,,,,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BJ",,,,,,,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CL",,,,,,,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_HT",,,,,,,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-KL",,,,,,,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CD",,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CA-NB",,,,,,,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, a-Si, panel, mounted | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_KR",,,,,,,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_DE",,,,,,,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CU",,,,,,,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_NP",,,,,,,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_US-TRE",,,,,,,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_HU",,,,,,,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-YN",,,,,,,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-LN",,,,,,,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_JP",,,,,,,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IN-Northern grid",,,,,,,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_LK",,,,,,,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_US-MRO",,,,,,,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_LK",,,,,,,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-HE",,,,,,,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-PE",,,,,,,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_MX",,,,,,,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KW",,,,,,,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-LN",,,,,,,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_FI",,,,,,,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-AP",,,,,,,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_AU",,,,,,,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_KP",,,,,,,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_EG",,,,,,,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-HL",,,,,,,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 570kWp open ground installation, multi-Si | electricity, low voltage | Cutoff, S_CN-XJ",,,,,,,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_KG",,,,,,,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_BA",,,,,,,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_GA",,,,,,,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_DK",,,,,,,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-PB",,,,,,,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-BC",,,,,,,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_TR",,,,,,,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted | electricity, low voltage | Cutoff, S_IN-KA",,,,,,,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_HN",,,,,,,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_IT",,,,,,,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_TR",,,,,,,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_US-RFC",,,,,,,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_MX",,,,,,,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-TJ",,,,,,,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_HR",,,,,,,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_SK",,,,,,,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_CA-SK",,,,,,,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_ZM",,,,,,,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_NL",,,,,,,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_GH",,,,,,,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_AE",,,,,,,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_TG",,,,,,,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, laminated, integrated | electricity, low voltage | Cutoff, S_RoW",,,,,,,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_CA-NB",,,,,,,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity voltage transformation from medium to low voltage | electricity, low voltage | Cutoff, S_HR",,,,,,,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CA-MB",,,,,,,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,,,,,,,,,,,,,"electricity production, photovoltaic, 3kWp slanted-roof installation, single-Si, panel, mounted | electricity, low voltage | Cutoff, S_CN-JX",,,,,,,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,,,,,,,,,,,,,"wood pellets, burned in stirling heat and power co-generation unit, 3kW electrical, future | electricity, low voltage | Cutoff, S_CH",,,,,,,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,,,,,,,,,,,,,"market for electricity, low voltage | electricity, low voltage | Cutoff, S_IN-Western grid",,,,,,,,,,,,,,,,,,,,,
